1,男女服装
255,,女装
255,,,棉衣
255,,,毛呢大衣
255,,,风衣
255,,,打底衫
255,,,情侣装
255,,,毛呢短裤
255,,,牛仔裤
255,,,加绒打底裤
255,,,小脚裤
255,,,半身裙
255,,,毛呢连衣裙
255,,,长袖连衣裙
255,,男装
255,,,羽绒服
255,,,卫衣
255,,,长袖T恤
255,,,长袖衬衫
255,,,品质秋冬外套
255,,,风衣
255,,,休闲西装
255,,,棉衣
255,,,休闲长裤
255,,,内衣内裤
255,,内衣/睡衣
255,,,保暖内衣
255,,,保暖打底裤
255,,,秋冬睡衣
255,,,珊瑚绒睡衣
255,,,塑身内衣
255,,,文胸套装
255,,,文胸
255,,,内裤
255,,,袜子
255,,,连裤袜
255,,,棉袜
2,鞋包配饰
255,,皮具箱包
255,,,单肩包
255,,,手提包
255,,,斜挎包
255,,,多功能包
255,,,双肩包
255,,,旅行箱
255,,,男包
255,,,电脑数码包
255,,,真皮包
255,,,钱包/卡套
255,,男鞋
255,,,秋季新款
255,,,商城精品
255,,,舒适男鞋
255,,,保暖必备
255,,女鞋
255,,,冬靴来了
255,,,短靴踝靴
255,,,中筒靴
255,,,雪地靴
255,,,单鞋
255,,,经典中跟
255,,,显腿瘦高跟
255,,,舒适平跟
255,,,帆布鞋
255,,,爆潮厚底鞋
255,,,休闲鞋
255,,,凉鞋清仓
3,美容美妆
255,,护肤
255,,,面膜
255,,,洁面
255,,,爽肤水
255,,,面霜/乳液
255,,,护肤套装
255,,,面部精华
255,,,喷雾
255,,,隔离/防晒
255,,,眼霜
255,,,润唇膏
255,,,T区护理
255,,,卸妆
255,,彩妆
255,,,睫毛膏
255,,,粉底液
255,,,粉饼
255,,,眼线
255,,,唇彩
255,,,眼影
255,,,指甲油
255,,男士
255,,,男士洁面
255,,,男士乳液
255,,,男士爽肤水
255,,,男士套装
4,运动户外
255,,运动鞋
255,,,板鞋
255,,,休闲鞋
255,,,篮球鞋
255,,,帆布鞋
255,,,跑步鞋
255,,,足球鞋
255,,,网球鞋
255,,,训练鞋
255,,运动服包
255,,,套装
255,,,运动裤/裙
255,,,颈环/手环
255,,,夹克
255,,,运动包
255,,,运动风衣
255,,,休闲裤
255,,,运动配件
255,,,运动POLO
255,,,针织衫
255,,户外装备
255,,,户外鞋
255,,,户外服装
255,,,垂钓用品
255,,,服饰配件
255,,,户外军品
255,,,望远镜
255,,,工具/眼镜
255,,,户外手电筒
255,,,自行车
255,,,户外包袋
255,,,水上用品
255,,,生存用具
5,数码家电
255,,手机
255,,,iphone4
255,,,iPhone4s
255,,,ME525
255,,,导航手机
255,,,手机配件
255,,,三星/手机
255,,,3G/智能
255,,,摩托罗拉
255,,,NOKIA
255,,,HTC
255,,,htc/G13
255,,相机
255,,,卡片机
255,,,单反
255,,,摄像机
255,,,佳能
255,,笔记本
255,,,团I3独显本
255,,,联想
255,,,苹果
255,,,华硕
255,,,惠普
255,,,宏基
255,,,戴尔
255,,,索尼
255,,,东芝
255,,,三星
255,,,神舟
6,家居家装
255,,家纺床品
255,,,床品套件
255,,,春夏被
255,,,保健枕
255,,,蚊帐
255,,居家日用
255,,,收纳整理
255,,,家务清洁
255,,,洗晒用具
255,,,卫浴用具
255,,,个人护理
255,,,雨伞雨具
255,,,驱蚊驱虫
255,,,居家杂货
255,,厨房餐饮
255,,,烹饪锅具
255,,,烹饪勺铲
255,,,调味瓶罐
255,,,厨房帮手
255,,,保鲜盒
255,,,餐具
255,,,水杯水壶
255,,,茶具
255,,家具
255,,,沙发
255,,,茶几
7,食品保健
255,,休闲零食
255,,,鸭脖
255,,,鸭舌
255,,,鸡翅
255,,,牛肉干
255,,,猪肉脯
255,,,猪肉松
255,,,糖果
255,,,鱿鱼丝
255,,,饼干糕点
255,,茶叶茗品
255,,,龙井
255,,,碧螺春
255,,,铁观音
255,,,红茶
255,,,普洱
255,,,花草茶
255,,,水果茶
255,,,保健茶
255,,蜜饯果脯
255,,,芒果干
255,,,葡萄干
255,,,梅类
255,,,菠萝干
255,,,草莓干
255,,,香蕉干
255,,,玫瑰脯
255,,,蓝莓
8,母婴用品
255,,婴幼食品
255,,,配方奶粉
255,,,羊奶粉
255,,,辅食
255,,,营养品
255,,婴幼用品
255,,,纸尿裤
255,,,奶瓶
255,,,布尿裤
255,,,湿巾/纸巾
255,,,睡袋/蚊帐
255,,,抱被/毛毯
255,,,洗浴护肤
255,,,水杯/水壶
255,,,衣物清洗
255,,童装童鞋
255,,,套装
255,,,T恤
255,,,连衣裙
255,,,半截裙
255,,,休闲裤
255,,,凉鞋
255,,,运动鞋
255,,,帆布鞋
255,,,内衣裤
255,,,帽子/配件
255,,,亲子装
9,文化娱乐
255,,汽车用品
255,,,GPS导航
255,,,充电器
255,,,车载影音
255,,,加热保温
255,,,座垫/座套
255,,,脚垫
255,,,专车专用
255,,,摩托车相关
255,,,外部装饰
